trial_id,optimizer_config__optimizer_params,optimizer_config__optimizer,model_config__virtual_batch_size,model_config__n_layers,model_config__k,model_config__dropout_rate,model_config__block_activation,model_config__abstlay_dim_2,model_config__abstlay_dim_1,model,loss_0,loss,accuracy,auroc,model_config__transformer_head_dim,model_config__transformer_activation,model_config__shared_embedding_fraction,model_config__share_embedding_strategy,model_config__share_embedding,model_config__num_heads,model_config__num_attn_blocks,model_config__input_embed_dim,model_config__ff_hidden_multiplier,model_config__ff_dropout,model_config__embedding_initialization,model_config__embedding_dropout,model_config__embedding_bias,model_config__attn_dropout,model_config__add_norm_dropout,model_config__use_batch_norm,model_config__initialization,model_config__has_residuals,model_config__embedding_dim,model_config__dropout,model_config__deep_layers,model_config__attn_embed_dim,model_config__attn_dropouts,model_config__attention_pooling,model_config__activation,model_config__n_steps,model_config__n_shared,model_config__n_independent,model_config__n_d,model_config__n_a,model_config__mask_type,model_config__gamma,model_config__batch_norm_continuous_input
38,{'weight_decay': 0.001},Adam,256.0,4.0,5.0,0.1,ReLU,32.0,32.0,DANetModel,0.6349553465843201,0.6349553465843201,0.6440678238868713,0.6040099859237671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,{'weight_decay': 0.01},Adam,512.0,4.0,7.0,0.0,ReLU,32.0,16.0,DANetModel,0.6503258347511292,0.6503258347511292,0.6440678238868713,0.5413533449172974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,{'weight_decay': 0.01},Adam,256.0,4.0,3.0,0.2,LeakyReLU,64.0,16.0,DANetModel,0.6325923204421997,0.6325923204421997,0.6271186470985413,0.6353383660316467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,{'weight_decay': 0.01},AdamW,128.0,6.0,5.0,0.0,LeakyReLU,128.0,16.0,DANetModel,0.6044030785560608,0.6044030785560608,0.6610169410705566,0.6979949474334717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,{'weight_decay': 0.001},Adam,512.0,6.0,3.0,0.1,LeakyReLU,32.0,16.0,DANetModel,0.7554665207862854,0.7554665207862854,0.35593220591545105,0.4523809254169464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,{'weight_decay': 0.001},Adam,128.0,4.0,3.0,0.0,ReLU,64.0,32.0,DANetModel,0.6049191951751709,0.6049191951751709,0.6271186470985413,0.6679198145866394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,{'weight_decay': 0.001},Adam,512.0,4.0,3.0,0.0,LeakyReLU,32.0,16.0,DANetModel,0.6002618074417114,0.6002618074417114,0.6779661178588867,0.7067669630050659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,{'weight_decay': 0.01},AdamW,512.0,8.0,5.0,0.2,GELU,128.0,32.0,DANetModel,0.6528627276420593,0.6528627276420593,0.6440678238868713,0.5426064729690552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,{'weight_decay': 0.001},Adam,128.0,8.0,7.0,0.0,GELU,64.0,64.0,DANetModel,0.4871978163719177,0.4871978163719177,0.7627118825912476,0.8245614171028137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,{'weight_decay': 0.001},Adam,256.0,4.0,3.0,0.2,LeakyReLU,32.0,64.0,DANetModel,0.6157735586166382,0.6157735586166382,0.694915235042572,0.6328320503234863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,{'weight_decay': 0.001},AdamW,128.0,8.0,3.0,0.1,LeakyReLU,64.0,64.0,DANetModel,0.641059160232544,0.641059160232544,0.6440678238868713,0.591478705406189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,{'weight_decay': 0.01},Adam,512.0,6.0,5.0,0.2,GELU,128.0,64.0,DANetModel,0.6478314399719238,0.6478314399719238,0.6440678238868713,0.5338345766067505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,{'weight_decay': 0.001},Adam,256.0,4.0,3.0,0.2,GELU,32.0,32.0,DANetModel,0.6463512778282166,0.6463512778282166,0.6440678238868713,0.5363408327102661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,{'weight_decay': 0.01},AdamW,256.0,6.0,7.0,0.1,GELU,128.0,32.0,DANetModel,0.6455665826797485,0.6455665826797485,0.6440678238868713,0.6052631735801697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
